id;todo_item_name;description;deadline;status;to_do_list_id
1;mobile Fish;Home Loan Account Table Computer;2019-07-17T00:18:30;COMPLETED;8
2;Movies Producer;Implementation Electronics Officer;2019-07-16T10:52:58;COMPLETED;1
3;Home Namibia;Steel zero administration;2019-07-16T16:54:35;COMPLETED;8
4;grey Cambridgeshire;Canyon HDD;2019-07-16T09:22:30;CONTINUES;1
5;Usability South Dakota envisioneer;Intelligent;2019-07-16T09:16:51;CONTINUES;2
6;Buckinghamshire Games;incentivize Tuna copy;2019-07-16T15:29:55;COMPLETED;1
7;synthesizing Views e-enable;Credit Card Account National Awesome;2019-07-16T20:59:55;CONTINUES;3
8;generating compelling;Home Loan Account;2019-07-16T19:04:42;COMPLETED;2
9;Industrial;index orange;2019-07-17T01:34:11;COMPLETED;8
10;application quantify Unbranded Plastic Tuna;Internal;2019-07-16T05:18:06;CONTINUES;4
