id;todo_item_name;description;deadline;status;to_do_list_id
1;mobile Fish;Home Loan Account Table Computer;2019-07-17T00:19:52;CONTINUES;8
2;Movies Producer;Implementation Electronics Officer;2019-07-16T10:54:20;CONTINUES;1
3;Home Namibia;Steel zero administration;2019-07-16T16:55:57;CONTINUES;8
4;grey Cambridgeshire;Canyon HDD;2019-07-16T09:23:52;CONTINUES;1
5;Usability South Dakota envisioneer;Intelligent;2019-07-16T09:18:13;CONTINUES;2
6;Buckinghamshire Games;incentivize Tuna copy;2019-07-16T15:31:17;COMPLETED;1
7;synthesizing Views e-enable;Credit Card Account National Awesome;2019-07-16T21:01:17;CONTINUES;3
8;generating compelling;Home Loan Account;2019-07-16T19:06:04;CONTINUES;2
9;Industrial;index orange;2019-07-17T01:35:33;COMPLETED;8
10;application quantify Unbranded Plastic Tuna;Internal;2019-07-16T05:19:28;COMPLETED;4
